detector,table_detector,series_id,hp,selected_window,seed,repo_commit,score_hash_run1,score_hash_run2,hash_match,score_length,score_length_match,finite_ratio,finite_ratio_run2,pinned_vus,local_vus,local_vus_abs_diff,historical_vus,historical_vus_abs_diff,status,runtime_sec,error
Sub_HBOS,Sub-HBOS,001_NAB_id_1_Facility_tr_1007_1st_2014.csv,"{'periodicity': 1, 'n_bins': 10}",6.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,9a34f5f7439d4d4bf198cb2b060d52c70d4e4513cc29dab51fb09397c577e2c8,9a34f5f7439d4d4bf198cb2b060d52c70d4e4513cc29dab51fb09397c577e2c8,True,4031,True,1.0,1.0,0.11925684646912224,0.11925684646912224,0.0,0.08609099357614,0.03316585289298224,PASS,2.3531494140625,
Sub_HBOS,Sub-HBOS,039_WSD_id_11_WebService_tr_1746_1st_1846.csv,"{'periodicity': 1, 'n_bins': 10}",125.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,8299b513fda1adb3f37b1e088d22ae898129819221c09d52be4ca56a5adcd9bf,8299b513fda1adb3f37b1e088d22ae898129819221c09d52be4ca56a5adcd9bf,True,18219,True,1.0,1.0,0.06295030777469864,0.06295030777469864,0.0,0.0174354756265399,0.04551483214815874,PASS,4.788039445877075,
Sub_HBOS,Sub-HBOS,141_MSL_id_2_Sensor_tr_500_1st_550.csv,"{'periodicity': 1, 'n_bins': 10}",264.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,b33377d34d82b10eaea5a20f623f63f25ef1f0832ef039fd60f77510274b900b,b33377d34d82b10eaea5a20f623f63f25ef1f0832ef039fd60f77510274b900b,True,2264,True,1.0,1.0,0.2450987721892556,0.2450987721892556,0.0,0.169076133529843,0.07602263865941261,PASS,4.0141706466674805,
Sub_HBOS,Sub-HBOS,179_SMD_id_2_Facility_tr_5925_1st_17580.csv,"{'periodicity': 1, 'n_bins': 10}",125.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,8c4413c4701472b49683d10d354727af1b12b95a8b9ee18b80a64e32de306ded,8c4413c4701472b49683d10d354727af1b12b95a8b9ee18b80a64e32de306ded,True,23703,True,1.0,1.0,0.015595205519211907,0.015595205519211907,0.0,0.345198245397235,0.3296030398780231,PASS,2.0056681632995605,
Sub_KNN,Sub-KNN,001_NAB_id_1_Facility_tr_1007_1st_2014.csv,"{'periodicity': 2, 'n_neighbors': 50}",6.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,34c3029e3b80c02647edd263030ef8bb7e737d3526445796b515fb77a25768c4,34c3029e3b80c02647edd263030ef8bb7e737d3526445796b515fb77a25768c4,True,4031,True,1.0,1.0,0.24042225629176972,0.24042225629176972,0.0,0.135482347249915,0.10493990904185471,PASS,0.8981842994689941,
Sub_KNN,Sub-KNN,039_WSD_id_11_WebService_tr_1746_1st_1846.csv,"{'periodicity': 2, 'n_neighbors': 50}",125.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,00451b5149443e0aadc17794a7d4b67e0531a8abf7976404f987c8abc0c4c0ce,00451b5149443e0aadc17794a7d4b67e0531a8abf7976404f987c8abc0c4c0ce,True,18219,True,1.0,1.0,0.8947583435879048,0.8947583435879048,0.0,0.0137932116318119,0.8809651319560929,PASS,8.284374475479126,
Sub_KNN,Sub-KNN,141_MSL_id_2_Sensor_tr_500_1st_550.csv,"{'periodicity': 2, 'n_neighbors': 50}",264.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,1a222e82e37ea6964da6394dc762ca27e9d915a4d07dca8f05cf7f4135cc088c,1a222e82e37ea6964da6394dc762ca27e9d915a4d07dca8f05cf7f4135cc088c,True,2264,True,1.0,1.0,0.659061374848819,0.659061374848819,0.0,0.302214965988638,0.356846408860181,PASS,4.133406639099121,
Sub_KNN,Sub-KNN,179_SMD_id_2_Facility_tr_5925_1st_17580.csv,"{'periodicity': 2, 'n_neighbors': 50}",125.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,faf5599f78fb8f7b5a8f727af7880137bbca4719cef5a5246005490f00574240,faf5599f78fb8f7b5a8f727af7880137bbca4719cef5a5246005490f00574240,True,23703,True,1.0,1.0,0.9373431326314369,0.9373431326314369,0.0,0.0420442303213465,0.8952989023100903,PASS,3.1720783710479736,
KShapeAD,KShapeAD,001_NAB_id_1_Facility_tr_1007_1st_2014.csv,{'periodicity': 1},6.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,ec7149fbc11fbc83ae3705e231f99e38cceffc7c2dd824665a5683ede636225a,ec7149fbc11fbc83ae3705e231f99e38cceffc7c2dd824665a5683ede636225a,True,4031,True,1.0,1.0,0.10343866149615598,0.10343866149615598,0.0,0.0908610723637126,0.012577589132443376,PASS,29.986518144607544,
KShapeAD,KShapeAD,039_WSD_id_11_WebService_tr_1746_1st_1846.csv,{'periodicity': 1},125.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,617d75697aa0a3bacb52f9da844367b827a76ca99ae3e832735ab66de07af958,617d75697aa0a3bacb52f9da844367b827a76ca99ae3e832735ab66de07af958,True,18219,True,1.0,1.0,0.016105274515602497,0.016105274515602497,0.0,0.0161337174442332,2.8442928630703634e-05,PASS,21.210029363632202,
KShapeAD,KShapeAD,141_MSL_id_2_Sensor_tr_500_1st_550.csv,{'periodicity': 1},,2024,8b363e350ae047a8115a594d1e9da64aae09b852,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,0,False,0.0,0.0,,,,,,FAIL,0.005070686340332031,"ValueError('could not convert string to float: ""An error occurred while running the model \'run_KShapeAD\': Cannot take a larger sample than population when \'replace=False\'""')"
KShapeAD,KShapeAD,179_SMD_id_2_Facility_tr_5925_1st_17580.csv,{'periodicity': 1},125.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,c63b51d8e0d2a42e8809d54291f4a7ab3987932e37cd8da4b88eadce5515b2d4,c63b51d8e0d2a42e8809d54291f4a7ab3987932e37cd8da4b88eadce5515b2d4,True,23703,True,1.0,1.0,0.11475966553890543,0.11475966553890543,0.0,0.184453530490476,0.06969386495157057,PASS,37.45612645149231,
Series2Graph,Series2Graph,001_NAB_id_1_Facility_tr_1007_1st_2014.csv,{'periodicity': 1},,2024,8b363e350ae047a8115a594d1e9da64aae09b852,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,0,False,0.0,0.0,,,,,,FAIL,0.00452733039855957,"ValueError('could not convert string to float: ""An error occurred while running the model \'run_Series2Graph\': No module named \'TSB_AD.models.Series2Graph\'""')"
Series2Graph,Series2Graph,039_WSD_id_11_WebService_tr_1746_1st_1846.csv,{'periodicity': 1},,2024,8b363e350ae047a8115a594d1e9da64aae09b852,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,0,False,0.0,0.0,,,,,,FAIL,0.007522106170654297,"ValueError('could not convert string to float: ""An error occurred while running the model \'run_Series2Graph\': No module named \'TSB_AD.models.Series2Graph\'""')"
Series2Graph,Series2Graph,141_MSL_id_2_Sensor_tr_500_1st_550.csv,{'periodicity': 1},,2024,8b363e350ae047a8115a594d1e9da64aae09b852,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,0,False,0.0,0.0,,,,,,FAIL,0.004001617431640625,"ValueError('could not convert string to float: ""An error occurred while running the model \'run_Series2Graph\': No module named \'TSB_AD.models.Series2Graph\'""')"
Series2Graph,Series2Graph,179_SMD_id_2_Facility_tr_5925_1st_17580.csv,{'periodicity': 1},,2024,8b363e350ae047a8115a594d1e9da64aae09b852,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,0,False,0.0,0.0,,,,,,FAIL,0.01047515869140625,"ValueError('could not convert string to float: ""An error occurred while running the model \'run_Series2Graph\': No module named \'TSB_AD.models.Series2Graph\'""')"
