detector,omitted_source,CDU_without_source,method
M2N2,LTDB,0.013268493583158786,reaggregate existing OOF losses; no probe refitting
M2N2,MGAB,0.011582605105734993,reaggregate existing OOF losses; no probe refitting
M2N2,MITDB,0.012002939225400825,reaggregate existing OOF losses; no probe refitting
M2N2,MSL,0.011928942392647012,reaggregate existing OOF losses; no probe refitting
M2N2,NAB,0.012181938929301106,reaggregate existing OOF losses; no probe refitting
M2N2,NEK,0.009708044512123317,reaggregate existing OOF losses; no probe refitting
M2N2,OPPORTUNITY,0.008356423689933454,reaggregate existing OOF losses; no probe refitting
M2N2,Power,0.012533362929969018,reaggregate existing OOF losses; no probe refitting
M2N2,SED,0.012296334890127941,reaggregate existing OOF losses; no probe refitting
M2N2,SMAP,0.011514253856276612,reaggregate existing OOF losses; no probe refitting
M2N2,SMD,0.01117324001118943,reaggregate existing OOF losses; no probe refitting
M2N2,SVDB,0.01171036013772639,reaggregate existing OOF losses; no probe refitting
M2N2,SWaT,0.0072137866294365366,reaggregate existing OOF losses; no probe refitting
M2N2,Stock,0.009247945260290139,reaggregate existing OOF losses; no probe refitting
M2N2,TAO,0.008591812001649317,reaggregate existing OOF losses; no probe refitting
M2N2,TODS,0.012226004770591452,reaggregate existing OOF losses; no probe refitting
M2N2,UCR,0.011678279615018548,reaggregate existing OOF losses; no probe refitting
M2N2,WSD,0.011471044373054205,reaggregate existing OOF losses; no probe refitting
M2N2,YAHOO,0.011256910518905226,reaggregate existing OOF losses; no probe refitting
TranAD,CATSv2,0.0029647612185346463,reaggregate existing OOF losses; no probe refitting
TranAD,Daphnet,0.0035336475632639502,reaggregate existing OOF losses; no probe refitting
TranAD,Exathlon,0.0015167036349977873,reaggregate existing OOF losses; no probe refitting
TranAD,IOPS,0.002719550996601324,reaggregate existing OOF losses; no probe refitting
TranAD,LTDB,0.003225290778875471,reaggregate existing OOF losses; no probe refitting
TranAD,MGAB,0.0029684954823368023,reaggregate existing OOF losses; no probe refitting
TranAD,MITDB,0.0031330690183766245,reaggregate existing OOF losses; no probe refitting
TranAD,MSL,0.0026492295470757206,reaggregate existing OOF losses; no probe refitting
TranAD,NAB,0.0029126280323718487,reaggregate existing OOF losses; no probe refitting
TranAD,NEK,0.0016642190937691996,reaggregate existing OOF losses; no probe refitting
TranAD,OPPORTUNITY,0.0013117589054316525,reaggregate existing OOF losses; no probe refitting
TranAD,Power,0.0021572911193296113,reaggregate existing OOF losses; no probe refitting
TranAD,SED,0.004095860938548003,reaggregate existing OOF losses; no probe refitting
TranAD,SMAP,0.0027869306566414343,reaggregate existing OOF losses; no probe refitting
TranAD,SMD,0.002481936473104268,reaggregate existing OOF losses; no probe refitting
TranAD,SVDB,0.002919585615850841,reaggregate existing OOF losses; no probe refitting
TranAD,SWaT,0.00050203419299547,reaggregate existing OOF losses; no probe refitting
TranAD,Stock,0.003270820334247124,reaggregate existing OOF losses; no probe refitting
TranAD,TAO,0.004627647617400258,reaggregate existing OOF losses; no probe refitting
TranAD,TODS,0.003198490170870194,reaggregate existing OOF losses; no probe refitting
TranAD,UCR,0.0029230710146765757,reaggregate existing OOF losses; no probe refitting
TranAD,WSD,0.0029109398973871034,reaggregate existing OOF losses; no probe refitting
TranAD,YAHOO,0.002741720577945322,reaggregate existing OOF losses; no probe refitting
TimesNet,CATSv2,-0.0003876790984593215,reaggregate existing OOF losses; no probe refitting
TimesNet,Daphnet,-0.00038956105573087604,reaggregate existing OOF losses; no probe refitting
TimesNet,Exathlon,-0.0003878736399036712,reaggregate existing OOF losses; no probe refitting
TimesNet,IOPS,-0.00038215966608361114,reaggregate existing OOF losses; no probe refitting
TimesNet,LTDB,-0.0003860879333730602,reaggregate existing OOF losses; no probe refitting
TimesNet,MGAB,-0.0003873334080456909,reaggregate existing OOF losses; no probe refitting
TimesNet,MITDB,-0.00037983151225527044,reaggregate existing OOF losses; no probe refitting
