source_dataset,L_null,L_basis,L_detector,L_basis_detector,basis_utility,detector_utility,CDU,Raw_VUS,detector
MGAB,0.10379637692907713,0.09814965849320105,0.10450550787869299,0.09661444982007451,0.005646718435876013,-0.0007091309496158625,0.0015352086731264625,0.007184582563943963,POLY
MITDB,0.2799692305476572,0.28074051205083167,0.2753778683229234,0.27757835131337,-0.0007712815031744574,0.004591362224733829,0.0031621607374616,0.31708143298850416,POLY
MSL,0.35306260934966177,0.32341904528105864,0.31357471466498094,0.3153887861825431,0.02964356406860314,0.03948789468468076,0.008030259098515385,0.5416861939646925,POLY
NAB,0.5109301265016868,0.49567876044141895,0.4771306704507431,0.48861012851964075,0.015251366060267817,0.03379945605094371,0.007068631921778139,0.48381052503017624,POLY
NEK,0.4180551094165658,0.34893343626830126,0.37580239478202193,0.34895604199433444,0.06912167314826453,0.04225271463454387,-2.2605726033287504e-05,0.6100565919173155,POLY
OPPORTUNITY,0.34958301859767227,0.47357238256387457,0.38772872096818556,0.4754449413246168,-0.12398936396620222,-0.03814570237051323,-0.0018725587607422592,0.09826150558954153,POLY
Power,0.4286798769583611,0.5020106680322937,0.4625695892252695,0.5089641525023502,-0.0733307910739325,-0.0338897122669084,-0.0069534844700565,0.0896995879161206,POLY
SED,0.25885176897902645,0.33325228185899936,0.3033174114633227,0.33829989546653655,-0.0744005128799729,-0.044465642484296256,-0.00504761360753715,0.0374112816256177,POLY
SMAP,0.21089900810982376,0.18744917856369883,0.1893973463859337,0.18210714560168148,0.02344982954612493,0.021501661723889978,0.0053420329620172645,0.6443353920457787,POLY
SMD,0.18012864641461732,0.15902704174505083,0.16531582824149674,0.15717545575639258,0.021101604669566423,0.014812818173120499,0.0018515859886582,0.6121323000512756,POLY
SVDB,0.24134051440331417,0.21203335442809823,0.22335029758071112,0.2099908076774504,0.02930715997521592,0.017990216822602968,0.0020425467506477667,0.44268098710576165,POLY
SWaT,0.5695013226659786,0.8095299149614791,0.6960771281663453,0.833065332691187,-0.2400285922955004,-0.1265758055003666,-0.0235354177297079,0.0964499897300144,POLY
Stock,0.417131156077293,0.3639863006648232,0.41277835167643184,0.3627793145561045,0.053144855412469785,0.004352804400861138,0.00120698610871865,0.8246315402762046,POLY
TAO,0.5535625392673225,0.5136042109103988,0.5536552153378471,0.5134710165648741,0.0399583283569237,-9.267607052460003e-05,0.00013319434552454997,0.9243692746006039,POLY
TODS,0.34089188089259115,0.3494683816078803,0.3272441044682799,0.34211818125678894,-0.008576500715289138,0.013647776424311229,0.007350200351091284,0.570608355069598,POLY
UCR,0.11965481163837996,0.12118827879405407,0.11969694103723447,0.12122483286699391,-0.0015334671556741313,-4.21293988545423e-05,-3.6554072939890506e-05,0.1270925798977207,POLY
WSD,0.11652476930139795,0.11569967076211748,0.11322421899248572,0.11253778401080643,0.00082509853928046,0.0033005503089121846,0.00316188675131098,0.41059700360426665,POLY
YAHOO,0.1357516306585992,0.13053893441590425,0.13420538547880714,0.13080093345394464,0.005212696242694886,0.0015462451797919957,-0.0002619990380404142,0.24669938206956518,POLY
CATSv2,0.2858020924202719,0.297887201276486,0.2771258142203899,0.2966934851329632,-0.0120851088562141,0.0086762781998819,0.0011937161435228,0.3643867119805548,MOMENT_FT
Daphnet,0.3254223915528967,0.2368700903937531,0.2947030233530577,0.2357042200628276,0.0885523011591436,0.0307193681998389,0.0011658703309254,0.5135527372213281,MOMENT_FT
Exathlon,0.5235995378389589,0.43366213844939877,0.4792228569429106,0.43051392170026076,0.08993739938956005,0.044376680896048196,0.003148216749137993,0.8305595884878447,MOMENT_FT
IOPS,0.15479102249458004,0.14680233978912313,0.14816617814808117,0.1463339254415965,0.007988682705456907,0.006624844346498783,0.0004684143475265067,0.3792760138503289,MOMENT_FT
LTDB,0.8720556920927158,0.8277857431274924,0.8741771949124755,0.8284946156307376,0.04426994896522349,-0.002121502819759639,-0.0007088725032451499,0.44998485662949583,MOMENT_FT
MGAB,0.10379637692907713,0.09814965849320105,0.10442830657602589,0.10240356060464681,0.005646718435876013,-0.00063192964694875,-0.004253902111445763,0.00417390632736015,MOMENT_FT
MITDB,0.2799692305476572,0.28074051205083167,0.28236399782653676,0.2803846668064175,-0.0007712815031744574,-0.0023947672788796,0.00035584524441411344,0.13152810293490055,MOMENT_FT
MSL,0.35306260934966177,0.32341904528105864,0.32821949233440256,0.3210562441166074,0.02964356406860314,0.0248431170152591,0.0023628011644511574,0.5318763198378218,MOMENT_FT
NAB,0.5109301265016868,0.49567876044141895,0.49775265088451137,0.49483207648335126,0.015251366060267817,0.013177475617175406,0.0008466839580676807,0.39293105271413964,MOMENT_FT
NEK,0.4180551094165658,0.34893343626830126,0.37933441317774297,0.3469648514149154,0.06912167314826453,0.03872069623882283,0.0019685848533857624,0.7292931728553823,MOMENT_FT
OPPORTUNITY,0.34958301859767227,0.47357238256387457,0.3952526356527801,0.4771527963016066,-0.12398936396620222,-0.045669617055107796,-0.003580413737732052,0.06806297450608524,MOMENT_FT
Power,0.4286798769583611,0.5020106680322937,0.4485228632701031,0.5041285038262711,-0.0733307910739325,-0.019842986311742,-0.0021178357939773,0.073828836779355,MOMENT_FT
SED,0.25885176897902645,0.33325228185899936,0.30111164110982613,0.34137605524215686,-0.0744005128799729,-0.04225987213079965,-0.0081237733831575,0.035336550856494245,MOMENT_FT
SMAP,0.21089900810982376,0.18744917856369883,0.2032662284092112,0.18551405401019827,0.02344982954612493,0.007632779700612494,0.0019351245535004825,0.6270105812656903,MOMENT_FT
SMD,0.18012864641461732,0.15902704174505083,0.1690315722943145,0.15873161411707054,0.021101604669566423,0.011097074120302716,0.00029542762798025635,0.7490210155103374,MOMENT_FT
SVDB,0.24134051440331417,0.21203335442809823,0.23278165592147454,0.21072658724368884,0.02930715997521592,0.008558858481839578,0.0013067671844093091,0.23308880910147683,MOMENT_FT
SWaT,0.5695013226659786,0.8095299149614791,0.6522480894607134,0.8098619621067227,-0.2400285922955004,-0.0827467667947348,-0.0003320471452435,0.0750012657797685,MOMENT_FT
Stock,0.417131156077293,0.3639863006648232,0.41208159222644813,0.3638426500921095,0.053144855412469785,0.005049563850844813,0.00014365057271362722,0.8070667473633466,MOMENT_FT
TAO,0.5535625392673225,0.5136042109103988,0.5412753888249505,0.5105448841571194,0.0399583283569237,0.01228715044237185,0.0030593267532793003,0.9377277234779,MOMENT_FT
TODS,0.34089188089259115,0.3494683816078803,0.3511340017041775,0.3504667124078961,-0.008576500715289138,-0.010242120811586338,-0.0009983308000158096,0.5794515423075086,MOMENT_FT
UCR,0.11965481163837996,0.12118827879405407,0.11996332790107848,0.12122054723714909,-0.0015334671556741313,-0.0003085162626985707,-3.22684430950545e-05,0.07790022228576371,MOMENT_FT
WSD,0.11652476930139795,0.11569967076211748,0.11317974492030851,0.11530038440990456,0.00082509853928046,0.0033450243810893713,0.0003992863522128445,0.5010593722075168,MOMENT_FT
YAHOO,0.1357516306585992,0.13053893441590425,0.13454990648586057,0.13065586504120572,0.005212696242694886,0.0012017241727385415,-0.00011693062530150301,0.2547185194942755,MOMENT_FT
CATSv2,0.2858020924202719,0.297887201276486,0.2787812579760432,0.297517994950801,-0.0120851088562141,0.0070208344442286,0.0003692063256849,0.2961038981537174,MOMENT_ZS
Daphnet,0.3254223915528967,0.2368700903937531,0.2965239798380316,0.2364059175254548,0.0885523011591436,0.028898411714865,0.0004641728682982,0.5194738105515135,MOMENT_ZS
Exathlon,0.5235995378389589,0.43366213844939877,0.48366841514776243,0.4322593050082869,0.08993739938956005,0.03993112269119637,0.0014028334411118634,0.8100870845266351,MOMENT_ZS
IOPS,0.15479102249458004,0.14680233978912313,0.1485431523688687,0.14661777303789103,0.007988682705456907,0.006247870125711292,0.00018456675123203046,0.37104281196944194,MOMENT_ZS
LTDB,0.8720556920927158,0.8277857431274924,0.8747987451794936,0.8289967063752602,0.04426994896522349,-0.0027430530867777877,-0.0012109632477678126,0.438750810066813,MOMENT_ZS
